SRBFTH01T01 39588 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T02 39031 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T03 39144 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T04 41359 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T05 42822 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T06 42844 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T07 44084 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T08 45926 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T09 46578 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH01T10 37243 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T01 33562 39785 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T02 40030 41692 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T03 40893 37450 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T04 40294 42546 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T05 43221 40123 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T06 43284 42989 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T07 41888 44607 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T08 45409 38831 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T09 46959 47201 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH02T10 35728 37910 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T01 147598 147832 146597 95173 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T02 142392 140882 141953 101972 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T03 141206 140601 140389 94765 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T04 145542 145120 144555 94716 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T05 128794 126270 128602 97977 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T06 154070 153173 152673 95745 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T07 141281 141453 140619 95765 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T08 146890 146239 146250 95901 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T09 149831 148798 148438 94567 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH04T10 145249 143850 143473 94593 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T01 222400 221860 219697 219474 221934 222455 222444 154394 NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T02 221100 220391 221517 221459 219356 221534 220253 152748 NaN NaN NaN NaN NaN NaN NaN NaN
SRBFTH08T03 218501 216445 218201 217555 218550 218593 216323 153073 NaN NaN NaN NaN NaN NaN NaN NaN
