SRBF32CTH01T01 88.5582
SRBF32CTH01T02 88.9052
SRBF32CTH01T03 88.4271
SRBF32CTH01T04 88.361
SRBF32CTH01T05 89.2932
SRBF32CTH01T06 90.0156
SRBF32CTH01T07 89.3449
SRBF32CTH01T08 89.2178
SRBF32CTH01T09 89.3966
SRBF32CTH01T10 88.6618
SRBF32CTH02T01 88.119
SRBF32CTH02T02 88.1186
SRBF32CTH02T03 88.3267
SRBF32CTH02T04 88.082
SRBF32CTH02T05 90.2972
SRBF32CTH02T06 89.5667
SRBF32CTH02T07 89.9802
SRBF32CTH02T08 89.8047
SRBF32CTH02T09 89.4396
SRBF32CTH02T10 89.6168
SRBF32CTH04T01 89.166
SRBF32CTH04T02 89.3
SRBF32CTH04T03 88.7175
SRBF32CTH04T04 89.93
SRBF32CTH04T05 91.2
SRBF32CTH04T06 91.0126
SRBF32CTH04T07 90.8081
SRBF32CTH04T08 91.233
SRBF32CTH04T09 90.8155
SRBF32CTH04T10 90.5235
SRBF32CTH08T01 90.3047
SRBF32CTH08T02 89.5814
SRBF32CTH08T03 89.4787
SRBF32CTH08T04 92.2009
SRBF32CTH08T05 92.3313
SRBF32CTH08T06 91.8377
SRBF32CTH08T07 91.6539
SRBF32CTH08T08 91.6786
SRBF32CTH08T09 91.4269
SRBF32CTH08T10 91.5917
SRBF32CTH16T01 90.3163
SRBF32CTH16T02 91.3075
SRBF32CTH16T03 90.0252
SRBF32CTH16T04 92.6301
SRBF32CTH16T05 92.1843
SRBF32CTH16T06 92.2962
SRBF32CTH16T07 92.1894
SRBF32CTH16T08 92.2355
SRBF32CTH16T09 92.2048
SRBF32CTH16T10 91.9303
SWBF32CTH01T01 66.8852
SWBF32CTH01T02 70.5032
SWBF32CTH01T03 67.6904
SWBF32CTH01T04 68.1525
SWBF32CTH01T05 68.936
SWBF32CTH01T06 68.7616
SWBF32CTH01T07 68.389
SWBF32CTH01T08 68.5807
SWBF32CTH01T09 67.6536
SWBF32CTH01T10 69.2184
SWBF32CTH02T01 52.5619
SWBF32CTH02T02 52.1847
SWBF32CTH02T03 57.9805
SWBF32CTH02T04 52.365
SWBF32CTH02T05 56.4278
SWBF32CTH02T06 61.1704
SWBF32CTH02T07 59.6345
SWBF32CTH02T08 57.67
SWBF32CTH02T09 55.5802
SWBF32CTH02T10 55.5741
SWBF32CTH04T01 33.067
SWBF32CTH04T02 32.0455
SWBF32CTH04T03 32.2203
SWBF32CTH04T04 33.5069
SWBF32CTH04T05 36.2023
SWBF32CTH04T06 34.1823
SWBF32CTH04T07 34.6399
SWBF32CTH04T08 35.1827
SWBF32CTH04T09 32.8915
SWBF32CTH04T10 33.8931
SWBF32CTH08T01 18.6315
SWBF32CTH08T02 17.0455
SWBF32CTH08T03 18.097
